marca,precio_raw,rating,opiniones,precio_kg,features,scaledFeatures,prediction
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,5.0,1.0]","[0.0,0.0,1.7234800437117226,3.709110714077983]",0
,,,,,"[0.0,0.0,7.5,1.0]","[0.0,0.0,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,7.3,1.0]","[0.0,0.0,2.516280863819115,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,9.8,1.0]","[0.0,0.0,3.3780208856749767,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,7.6,1.0]","[0.0,0.0,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,7.2,1.0]","[0.0,0.0,2.4818112629448805,3.709110714077983]",1
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,7.0,1.0]","[0.0,0.0,2.4128720611964116,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,6.3,1.0]","[0.0,0.0,2.1715848550767705,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,7.4,1.0]","[0.0,0.0,2.5507504646933494,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,7.6,1.0]","[0.0,0.0,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,0.0,7.5,1.0]","[0.0,0.0,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,7.6,1.0]","[0.0,0.0,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,7.4,1.0]","[0.0,0.0,2.5507504646933494,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,9.0,1.0]","[0.0,0.0,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,9.9,1.0]","[0.0,0.0,3.4124904865492107,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.7,1.0]","[0.0,0.0,3.3435512848007414,3.709110714077983]",1
